x,ccdf
10.0,1.0
10.0,0.999997347655991
11.0,0.9999946953119819
11.0,0.999992042967973
11.0,0.999989390623964
11.0,0.9999867382799549
11.0,0.9999840859359459
11.0,0.9999814335919369
11.0,0.9999787812479278
11.0,0.9999761289039188
11.0,0.9999734765599099
11.0,0.9999708242159008
11.0,0.9999681718718918
11.0,0.9999655195278828
11.0,0.9999628671838737
11.0,0.9999602148398647
11.0,0.9999575624958558
11.0,0.9999549101518467
11.0,0.9999522578078377
11.0,0.9999469531198196
11.0,0.9999443007758106
11.0,0.9999389960877926
11.0,0.9999363437437836
11.0,0.9999310390557655
11.0,0.9999257343677475
11.0,0.9999204296797295
11.0,0.9999151249917114
11.0,0.9999098203036934
11.0,0.9999045156156754
11.0,0.9998965585836483
11.0,0.9998912538956303
11.0,0.9998832968636032
11.0,0.9998753398315762
11.0,0.9998673827995491
12.0,0.999856773423513
12.0,0.9998488163914859
12.0,0.9998382070154499
12.0,0.9998275976394139
12.0,0.9998143359193687
12.0,0.9998037265433327
12.0,0.9997904648232876
12.0,0.9997745507592335
12.0,0.9997586366951794
12.0,0.9997427226311253
12.0,0.9997268085670712
12.0,0.999708242159008
12.0,0.9996896757509449
13.0,0.9996684569988727
13.0,0.9996445859027916
13.0,0.9996207148067104
13.0,0.9995968437106293
13.0,0.9995676679265301
13.0,0.9995411444864399
13.0,0.9995093163583316
13.0,0.9994748358862144
14.0,0.9994403554140973
14.0,0.999403222597971
14.0,0.9993634374378357
14.0,0.9993209999336914
14.0,0.9992759100855381
14.0,0.9992281678933758
15.0,0.9991751210131954
15.0,0.999119421789006
15.0,0.9990610702208076
15.0,0.9990000663086003
15.0,0.9989311053643658
15.0,0.9988594920761222
16.0,0.9987852264438698
16.0,0.9987030037795902
16.0,0.9986154764272926
16.0,0.998525296730986
16.0,0.9984245076586433
17.0,0.9983210662422917
17.0,0.9982096677939128
17.0,0.998087659969498
17.0,0.9979603474570652
17.0,0.9978250779126052
17.0,0.9976791989921093
18.0,0.9975253630395863
18.0,0.9973609177110271
18.0,0.9971832106624229
18.0,0.9969975465817916
18.0,0.9967959684371063
18.0,0.9965811285723758
18.0,0.9963556793316093
19.0,0.9961116636827797
19.0,0.9958517339698959
19.0,0.995575890192958
19.0,0.995278827663948
19.0,0.9949658510708839
20.0,0.9946290033817387
20.0,0.9942709369405212
20.0,0.9938889994032226
20.0,0.9934831907698428
20.0,0.9930482063523639
21.0,0.9925840461507858
21.0,0.9920907101651084
21.0,0.9915628937073139
21.0,0.991000596777402
21.0,0.990398514687355
22.0,0.9897592997811816
22.0,0.989077647370864
22.0,0.988348252768384
23.0,0.9875711159737418
23.0,0.9867435846429282
23.0,0.9858603540879252
23.0,0.9849161196207148
24.0,0.983910881241297
24.0,0.9828393342616537
24.0,0.981693521649758
24.0,0.9804734434056097
25.0,0.9791737948411909
25.0,0.9777839665804655
25.0,0.9763039586234334
25.0,0.9747231615940587
26.0,0.9730389231483323
26.0,0.9712432862542272
26.0,0.9693256415357072
27.0,0.9672806843047543
27.0,0.9651004575293416
27.0,0.9627743518334329
27.0,0.960291757840992
28.0,0.957644718519992
28.0,0.9548226244943969
28.0,0.9518122140441615
29.0,0.9486002254492407
29.0,0.9451733969895896
29.0,0.9415184669451628
29.0,0.9376221735959154
30.0,0.9334632981897752
30.0,0.9290285790066972
30.0,0.9242994496386181
31.0,0.919252038989457
31.0,0.9138704329951595
32.0,0.9081307605596446
32.0,0.9020064982428221
32.0,0.8954737749486108
33.0,0.8885087195809297
33.0,0.8810768516676613
34.0,0.8731516477687156
34.0,0.8646959750679664
35.0,0.8556780054373052
35.0,0.8460579537165971
36.0,0.8357986870897155
36.0,0.8248551157085074
37.0,0.8131794973808103
38.0,0.8007293946024799
38.0,0.7874464558053179
39.0,0.7732802864531529
40.0,0.7581698826337776
41.0,0.7420515880909754
41.0,0.7248590942245209
42.0,0.7065207877461707
43.0,0.6869597506796632
44.0,0.6660937603607188
46.0,0.643840594125058
47.0,0.6201021152443472
48.0,0.5947801869902526
50.0,0.5677740202904317
51.0,0.5389642596644785
53.0,0.5082368543200053
55.0,0.47545918705656126
57.0,0.4404986406736954
60.0,0.40320933625091177
62.0,0.36343213314766926
66.0,0.3210052383794178
70.0,0.2757509448975532
74.0,0.22747828393342617
81.0,0.17598832968636033
89.0,0.12106889463563424
103.0,0.06248922485246337
450.0,2.6523440090179697e-06
